Country,Deaths,practPHYSICIANSp100kinh,health_exp_in_â‚¬_pH
Austria,243,518.28,4371.34
Belgium,2035,308.29,3991.58
Bulgaria,23,424.49,591.11
Cyprus,9,386.84,1527.71
Germany,2016,424.88,4459.36
Denmark,203,,5134.04
Estonia,21,346.82,1152.52
Spain,14045,387.68,2221.11
Finland,34,,3742.34
France,10328,315.8,3883.02
Croatia,18,336.21,805.33
Hungary,47,332.48,871.95
Ireland,210,306.57,4395.41
Italy,17127,398.95,2522.52
Lithuania,15,455.63,963.25
Luxembourg,44,298.49,5082.84
Latvia,2,320.5,828.8
Malta,0,396.37,2249.54
Netherlands,2101,358.22,4345.73
Norway,89,465.85,7013.51
Poland,129,237.75,
Romania,197,292.68,493.78
Sweden,591,,5206.34
United Kingdom,6159,281.1,3408.88
